titre,description,genre
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
L'Étranger,"Meursault, un homme indifférent, tue un Arabe sans raison apparente sur une plage ensoleillée d'Alger.",Roman
Voyage au bout de la nuit,Un récit sombre et cynique de la Première Guerre mondiale et de la condition humaine à travers les yeux de Ferdinand Bardamu.,Roman
Les Misérables,"La vie de Jean Valjean, ancien forçat, et sa quête de rédemption dans une France en pleine mutation sociale.",Roman
Madame Bovary,"Emma Bovary, insatisfaite de sa vie provinciale, cherche l'évasion dans des passions extraconjugales et des dépenses excessives.",Roman
Le Petit Prince,"Un aviateur échoué dans le désert rencontre un petit prince venu d'une autre planète, qui lui raconte ses voyages et ses réflexions sur la vie.",Roman
Les Trois Mousquetaires,"D'Artagnan rejoint les mousquetaires du roi et se lance dans des aventures épiques aux côtés d'Athos, Porthos et Aramis.",Roman
Le Rouge et le Noir,"Julien Sorel, jeune homme ambitieux, tente de s'élever dans la société française du XIXe siècle, entre passion et hypocrisie sociale.",Roman
Les Liaisons dangereuses,Un roman épistolaire dévoilant les manipulations et intrigues amoureuses de la noblesse française avant la Révolution.,Roman
L'Écume des jours,"Dans un monde onirique, Colin vit une histoire d'amour tragique avec Chloé, atteinte d'une maladie étrange.",Roman
Germinal,"Étienne Lantier, ouvrier mineur, mène une grève pour de meilleures conditions de travail dans le nord de la France.",Roman
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
La Nuit des temps,Une équipe scientifique découvre sous la glace de l'Antarctique une civilisation disparue.,Science-fiction
Fondation,Hari Seldon développe la psychohistoire pour prédire et sauver l'avenir de l'humanité.,Science-fiction
Dune,"La lutte de Paul Atréides pour contrôler la planète désertique d'Arrakis et sa ressource précieuse, l'épice.",Science-fiction
1984,Une dystopie effrayante où Big Brother surveille constamment les citoyens.,Science-fiction
Le Meilleur des mondes,"Une société futuriste dominée par la technologie, le conditionnement génétique et le bonheur obligatoire.",Science-fiction
Fahrenheit 451,"Dans un futur oppressif, les livres sont interdits et brûlés par les pompiers.",Science-fiction
Ubik,Un univers instable où la réalité est constamment remise en question après une mystérieuse explosion.,Science-fiction
Les Robots,Les robots intelligents coexistent avec les humains et suivent strictement les Trois Lois de la robotique.,Science-fiction
La Guerre des mondes,"La Terre est envahie par des extraterrestres hostiles, provoquant une guerre dévastatrice.",Science-fiction
Le Cycle d'Ender,"Ender Wiggin, un enfant surdoué, est entraîné à devenir un stratège militaire contre une menace extraterrestre.",Science-fiction
Le Seigneur des Anneaux,"Une quête pour détruire un anneau magique dans un monde peuplé d’elfes, de hobbits et de magiciens.",Fantasy
Harry Potter à l'école des sorciers,"Un jeune sorcier découvre ses pouvoirs et entre à Poudlard, une école de magie.",Fantasy
Eragon,Un jeune garçon découvre qu’il est destiné à devenir dragonnier et affronter un empire maléfique.,Fantasy
Le Trône de fer,Une lutte de pouvoir sanglante pour le trône de Westeros dans un univers médiéval et magique.,Fantasy
Les Chroniques de Narnia,Des enfants découvrent un monde magique derrière une armoire et se battent contre les forces du mal.,Fantasy
À la croisée des mondes,"Lyra, une jeune fille, parcourt des mondes parallèles pour sauver son ami et découvrir une vérité cachée.",Fantasy
L'Assassin Royal,"FitzChevalerie, bâtard royal, devient assassin pour le trône et affronte des forces obscures.",Fantasy
Le Sorceleur,"Geralt de Riv, un chasseur de monstres, affronte des créatures magiques et des dilemmes moraux.",Fantasy
Le Nom du vent,"Kvothe, un héros légendaire, raconte son passé d’orphelin, de musicien et de magicien.",Fantasy
La Belgariade,Un jeune paysan découvre ses pouvoirs et part sauver le monde d'une ancienne prophétie.,Fantasy
Le Seigneur des Anneaux,"Une quête pour détruire un anneau magique dans un monde peuplé d’elfes, de hobbits et de magiciens.",Fantasy
Harry Potter à l'école des sorciers,"Un jeune sorcier découvre ses pouvoirs et entre à Poudlard, une école de magie.",Fantasy
Eragon,Un jeune garçon découvre qu’il est destiné à devenir dragonnier et affronter un empire maléfique.,Fantasy
Le Trône de fer,Une lutte de pouvoir sanglante pour le trône de Westeros dans un univers médiéval et magique.,Fantasy
Les Chroniques de Narnia,Des enfants découvrent un monde magique derrière une armoire et se battent contre les forces du mal.,Fantasy
À la croisée des mondes,"Lyra, une jeune fille, parcourt des mondes parallèles pour sauver son ami et découvrir une vérité cachée.",Fantasy
L'Assassin Royal,"FitzChevalerie, bâtard royal, devient assassin pour le trône et affronte des forces obscures.",Fantasy
Le Sorceleur,"Geralt de Riv, un chasseur de monstres, affronte des créatures magiques et des dilemmes moraux.",Fantasy
Le Nom du vent,"Kvothe, un héros légendaire, raconte son passé d’orphelin, de musicien et de magicien.",Fantasy
La Belgariade,Un jeune paysan découvre ses pouvoirs et part sauver le monde d'une ancienne prophétie.,Fantasy
Le Seigneur des Anneaux,"Une quête pour détruire un anneau magique dans un monde peuplé d’elfes, de hobbits et de magiciens.",Fantasy
Harry Potter à l'école des sorciers,"Un jeune sorcier découvre ses pouvoirs et entre à Poudlard, une école de magie.",Fantasy
Eragon,Un jeune garçon découvre qu’il est destiné à devenir dragonnier et affronter un empire maléfique.,Fantasy
Le Trône de fer,Une lutte de pouvoir sanglante pour le trône de Westeros dans un univers médiéval et magique.,Fantasy
Les Chroniques de Narnia,Des enfants découvrent un monde magique derrière une armoire et se battent contre les forces du mal.,Fantasy
À la croisée des mondes,"Lyra, une jeune fille, parcourt des mondes parallèles pour sauver son ami et découvrir une vérité cachée.",Fantasy
L'Assassin Royal,"FitzChevalerie, bâtard royal, devient assassin pour le trône et affronte des forces obscures.",Fantasy
Le Sorceleur,"Geralt de Riv, un chasseur de monstres, affronte des créatures magiques et des dilemmes moraux.",Fantasy
Le Nom du vent,"Kvothe, un héros légendaire, raconte son passé d’orphelin, de musicien et de magicien.",Fantasy
La Belgariade,Un jeune paysan découvre ses pouvoirs et part sauver le monde d'une ancienne prophétie.,Fantasy
Le Seigneur des Anneaux,"Une quête pour détruire un anneau magique dans un monde peuplé d’elfes, de hobbits et de magiciens.",Fantasy
Harry Potter à l'école des sorciers,"Un jeune sorcier découvre ses pouvoirs et entre à Poudlard, une école de magie.",Fantasy
Eragon,Un jeune garçon découvre qu’il est destiné à devenir dragonnier et affronter un empire maléfique.,Fantasy
Le Trône de fer,Une lutte de pouvoir sanglante pour le trône de Westeros dans un univers médiéval et magique.,Fantasy
Les Chroniques de Narnia,Des enfants découvrent un monde magique derrière une armoire et se battent contre les forces du mal.,Fantasy
À la croisée des mondes,"Lyra, une jeune fille, parcourt des mondes parallèles pour sauver son ami et découvrir une vérité cachée.",Fantasy
L'Assassin Royal,"FitzChevalerie, bâtard royal, devient assassin pour le trône et affronte des forces obscures.",Fantasy
Le Sorceleur,"Geralt de Riv, un chasseur de monstres, affronte des créatures magiques et des dilemmes moraux.",Fantasy
Le Nom du vent,"Kvothe, un héros légendaire, raconte son passé d’orphelin, de musicien et de magicien.",Fantasy
